ProductModelName,ProductCategory,ProductPrice,RetailerName,RetailerZip,RetailerCity,RetailerState,ProductOnSale,ManufacturerName,ManufacturerRebate,UserID,UserAge,UserGender,UserOccupation,ReviewRating,ReviewDate,ReviewText
Samsung TV 60 LED,TV,1100,Walmart,94102,San Francisco,CA,Yes,Samsung,No,hueii17,37,Female,Manager,5,12/14/2014,Great staff with the sale!! They did an extraordinary job and will be shopping there again! I love Samsung!
Galaxy S4,Smart Phone,402,Frys,30134,Atlanta,GA,No,Samsung,No,ttltk97,26,Male,Secretary,5,7/9/2014, really like this Samsung Galaxy 4. i don't use a  computer any more
Samsung TV 65 Curved,TV,1899,Bestbuy,60585,Naperville,IL,Yes,Samsung,Yes,xzwef40,51,Male,Unknown,4,12/5/2014,The TV is great with superb picture quality.
Surface 3,Tablet,999,Walmart,94158,San Francisco,CA,No,Microsoft,No,fpxjy72,41,Female,Programmer,5,6/21/2014,Its easy to carry and is more than a tablet its a laptop!
HP PAVALION  15.6,Laptop,299,Frys,44114,Cleveland,OH,Yes,HP,No,vvndr0,18,Female,Student,5,12/5/2014,Great laptop for the price. Does everything you need for everyday computing.
Surface 3,Tablet,969,Target,60585,Naperville,IL,No,Microsoft,No,gmcvd78,32,Male,Programmer,5,5/25/2014,I was expecting a tablet with limited function but I got a computer in the compact size of a tablet.
Samsung TV 60 LED,TV,1100,Target,94102,San Francisco,CA,Yes,Samsung,No,ujvip28,59,Male,Student,4,2/15/2015,CPU overheats and dies after few hours of use
HP PAVALION  15.6,Laptop,298,Walmart,94158,San Francisco,CA,Yes,HP,Yes,cylis38,19,Female,Manager,2,6/18/2014,I don't like this lap top the bluetooth didn't work at all
HP PAVALION  15.6,Laptop,319,Walmart,94158,San Francisco,CA,No,HP,No,qhueg90,45,Male,Secretary,4,5/15/2013, Great computer for the price. Excellent! Very fast
Surface 3,Tablet,999,hhgregg,90012,Los Angeles,CA,No,Microsoft,No,flkpo51,50,Female,Unknown,4,6/25/2014,Amazing piece of technology.
Galaxy S4,Smart Phone,390,Frys,44114,Cleveland,OH,Yes,Samsung,No,gxqfp48,57,Female,Programmer,4,12/1/2014,I bought this phone for my mother. It was a tough for her to get a handle on working android but with my nieces help she can finally text. She seems very happy with it.
Surface 3,Tablet,999,Frys,60603,Chicago,IL,No,Microsoft,No,gkmgb76,41,Male,Accountant,4,5/12/2014,I like the Surface Pro 3 but not sure I like Windows 8.1.
iPhone 6,Smart Phone,589,Frys,60616,Chicago,IL,No,Apple,No,vtpzh47,23,Male,Secretary,5,2/1/2013, I like everything...camera
HP PAVALION  15.6,Laptop,299,Bestbuy,33129,Miami,FL,Yes,HP,No,gcazr42,56,Female,Accountant,1,2/1/2013,Stay away from this product. It overheats after few hours and then turns off
Dell Ispiron 15.6,Laptop,499,hhgregg,60616,Chicago,IL,No,Dell,No,wydci21,43,Male,Programmer,1,2/2/2013, Difficult to use
Dell Ispiron 15.6,Laptop,449,Target,60603,Chicago,IL,Yes,Dell,No,rhgpc68,23,Male,secretary,1,12/27/2014, I did not like the keyboard at all - it was difficult to use
Samsung Tab 4,Tablet,349,Bestbuy,94102,San Francisco,CA,No,Samsung,No,shfbx14,45,Male,Student,5,7/23/2014, I could not be happier with my purchase
HP PAVALION  15.6,Laptop,299,Target,94102,San Francisco,CA,Yes,HP,No,mzibo91,43,Female,Accountant,5,10/8/2014,HP has really produced a top notch product with this notebook
HP PAVALION  15.6,Laptop,319,Bestbuy,33129,Miami,FL,No,HP,No,lxbuu49,43,Female,Student,4,3/24/2014,Awesome laptop/ tablet! Works great. Quick. Light to carry!
Samsung TV 60 LED,TV,1200,Walmart,44114,Cleveland,OH,No,Samsung,No,ppavp74,55,Male,Accountant,4,6/21/2014, It looks great
LG 65,TV,999,Frys,60603,Chicago,IL,No,LG,No,rakyc94,43,Male,Student,2,11/29/2014,It does have 3 HDMI ports instead of two.
iPad Air,Tablet,425,hhgregg,90012,Los Angeles,CA,Yes,Apple,No,mjuwo81,42,Female,Manager,3,12/5/2014,Bought this as a replacement to my 3rg gen ipad which broke.
HP PAVALION  15.6,Laptop,299,Bestbuy,44114,Cleveland,OH,Yes,HP,No,vjnge6,36,Male,Unknown,5,9/13/2013,The Windows 8 was different at first altogether a great laptop
